mc,L,F,q,s_max_den,n_density,iteration
2,50,2,100,0.0008,0.057346938775510205,263
2,50,2,100,0.0008,0.05673469387755102,335
2,50,2,100,0.0008,0.05612244897959184,428
2,50,2,100,0.0008,0.055714285714285716,545
2,50,2,100,0.0012,0.05408163265306123,695
2,50,2,100,0.0012,0.05163265306122449,885
2,50,2,100,0.0012,0.05102040816326531,1128
2,50,2,100,0.0012,0.04897959183673469,1438
2,50,2,100,0.0012,0.047551020408163266,1832
2,50,2,100,0.0012,0.04591836734693878,2335
2,50,2,100,0.0012,0.04204081632653061,2976
2,50,2,100,0.0012,0.04,3792
2,50,2,100,0.0012,0.03571428571428571,4832
2,50,2,100,0.0012,0.03224489795918367,6158
2,50,2,100,0.0016,0.027959183673469386,7847
2,50,2,100,0.0016,0.023061224489795917,10000
2,50,2,100,0.0016,0.018367346938775512,12742
2,50,2,100,0.0016,0.014285714285714285,16237
2,50,2,100,0.0016,0.009795918367346938,20691
2,50,2,100,0.0016,0.007551020408163266,26366
2,50,2,100,0.0016,0.006122448979591836,33598
2,50,2,100,0.0016,0.004081632653061225,42813
2,50,2,100,0.002,0.003061224489795918,54555
2,50,2,100,0.002,0.0032653061224489797,69519
2,50,2,100,0.002,0.0034693877551020408,88586
2,50,2,100,0.002,0.0034693877551020408,112883
2,50,2,100,0.002,0.003061224489795918,143844
2,50,2,100,0.002,0.0034693877551020408,183298
2,50,2,100,0.002,0.0034693877551020408,233572
2,50,2,100,0.002,0.0034693877551020408,297635
2,50,2,100,0.002,0.0032653061224489797,379269
2,50,2,100,0.002,0.0032653061224489797,483293
2,50,2,100,0.002,0.0038775510204081634,615848
2,50,2,100,0.002,0.0032653061224489797,784759
2,50,2,100,0.002,0.0032653061224489797,1000000
2,50,2,100,0.002,0.0032653061224489797,1274274
2,50,2,100,0.002,0.003061224489795918,1623776
2,50,2,100,0.002,0.0032653061224489797,2069138
2,50,2,100,0.002,0.0032653061224489797,2636650
2,50,2,100,0.002,0.0038775510204081634,3359818
2,50,2,100,0.002,0.0034693877551020408,4281332
2,50,2,100,0.002,0.0032653061224489797,5455594
2,50,2,100,0.002,0.0032653061224489797,6951927
2,50,2,100,0.002,0.0034693877551020408,8858667
2,50,2,100,0.002,0.0032653061224489797,11288378
2,50,2,100,0.002,0.0032653061224489797,14384498
2,50,2,100,0.002,0.0032653061224489797,18329807
2,50,2,100,0.002,0.0034693877551020408,23357214
2,50,2,100,0.002,0.003061224489795918,29763514
2,50,2,100,0.002,0.003061224489795918,37926901
2,50,2,100,0.002,0.003061224489795918,48329302
2,50,2,100,0.002,0.003061224489795918,61584821
2,50,2,100,0.002,0.0032653061224489797,78475997
2,50,2,100,0.002,0.0032653061224489797,100000000
2,50,2,100,0.002,0.003061224489795918,127427498
2,50,2,100,0.002,0.003061224489795918,162377673
2,50,2,100,0.002,0.0032653061224489797,206913808
2,50,2,100,0.002,0.003061224489795918,263665089
2,50,2,100,0.002,0.003673469387755102,335981828
2,50,2,100,0.002,0.0034693877551020408,428133239
2,50,2,100,0.002,0.003061224489795918,545559478
2,50,2,100,0.002,0.003061224489795918,695192796
2,50,2,100,0.002,0.0034693877551020408,885866790
2,50,2,100,0.002,0.003061224489795918,1128837891
2,50,2,100,0.002,0.003061224489795918,1438449888
2,50,2,100,0.002,0.0034693877551020408,1832980710
2,50,2,100,0.002,0.0034693877551020408,2335721469
2,50,2,100,0.002,0.0034693877551020408,2976351441
2,50,2,100,0.002,0.003061224489795918,3792690190
2,50,2,100,0.002,0.0032653061224489797,4832930238
2,50,2,100,0.002,0.0032653061224489797,6158482110
2,50,2,100,0.002,0.003673469387755102,7847599703
2,50,2,200,0.0008,0.04244897959183674,1
2,50,2,200,0.0008,0.04244897959183674,2
2,50,2,200,0.0008,0.04244897959183674,3
2,50,2,200,0.0008,0.04244897959183674,4
2,50,2,200,0.0008,0.04244897959183674,5
2,50,2,200,0.0008,0.04244897959183674,6
2,50,2,200,0.0008,0.04244897959183674,8
2,50,2,200,0.0008,0.04244897959183674,11
2,50,2,200,0.0008,0.04244897959183674,14
2,50,2,200,0.0008,0.04244897959183674,18
2,50,2,200,0.0008,0.04244897959183674,23
2,50,2,200,0.0008,0.04244897959183674,29
2,50,2,200,0.0008,0.04244897959183674,37
2,50,2,200,0.0008,0.04224489795918367,48
2,50,2,200,0.0008,0.04224489795918367,61
2,50,2,200,0.0008,0.04224489795918367,78
2,50,2,200,0.0008,0.04224489795918367,100
2,50,2,200,0.0008,0.04204081632653061,127
2,50,2,200,0.0008,0.04183673469387755,162
2,50,2,200,0.0008,0.04163265306122449,206
2,50,2,200,0.0008,0.041428571428571426,263
2,50,2,200,0.0008,0.04122448979591837,335
2,50,2,200,0.0008,0.041020408163265305,428
2,50,2,200,0.0008,0.040612244897959185,545
2,50,2,200,0.0008,0.040204081632653065,695
2,50,2,200,0.0008,0.03938775510204082,885
2,50,2,200,0.0008,0.03857142857142857,1128
2,50,2,200,0.0008,0.03775510204081633,1438
2,50,2,200,0.0008,0.036326530612244896,1832
2,50,2,200,0.0008,0.03489795918367347,2335
2,50,2,200,0.0012,0.03326530612244898,2976
2,50,2,200,0.0012,0.030204081632653063,3792
2,50,2,200,0.0012,0.027551020408163266,4832
2,50,2,200,0.0012,0.024489795918367346,6158
2,50,2,200,0.0016,0.021836734693877553,7847
2,50,2,200,0.0016,0.01653061224489796,10000
2,50,2,200,0.0016,0.012244897959183673,12742
2,50,2,200,0.0016,0.009795918367346938,16237
2,50,2,200,0.0024,0.005714285714285714,20691
2,50,2,200,0.0024,0.004693877551020408,26366
2,50,2,200,0.0024,0.002857142857142857,33598
2,50,2,200,0.0024,0.0016326530612244899,42813
2,50,2,200,0.0024,0.0008163265306122449,54555
2,50,2,200,0.0024,0.0008163265306122449,69519
2,50,2,200,0.0024,0.0010204081632653062,88586
2,50,2,200,0.0024,0.0008163265306122449,112883
2,50,2,200,0.0024,0.0010204081632653062,143844
2,50,2,200,0.0024,0.0008163265306122449,183298
2,50,2,200,0.0024,0.0010204081632653062,233572
2,50,2,200,0.0024,0.0010204081632653062,297635
2,50,2,200,0.0024,0.0008163265306122449,379269
2,50,2,200,0.0024,0.0008163265306122449,483293
2,50,2,200,0.0024,0.0008163265306122449,615848
2,50,2,200,0.0024,0.0008163265306122449,784759
2,50,2,200,0.0024,0.0010204081632653062,1000000
2,50,2,200,0.0024,0.0008163265306122449,1274274
2,50,2,200,0.0024,0.0008163265306122449,1623776
2,50,2,200,0.0024,0.0010204081632653062,2069138
2,50,2,200,0.0024,0.0010204081632653062,2636650
2,50,2,200,0.0024,0.0008163265306122449,3359818
2,50,2,200,0.0024,0.0008163265306122449,4281332
2,50,2,200,0.0024,0.0010204081632653062,5455594
2,50,2,200,0.0024,0.0010204081632653062,6951927
2,50,2,200,0.0024,0.0010204081632653062,8858667
2,50,2,200,0.0024,0.0008163265306122449,11288378
2,50,2,200,0.0024,0.0008163265306122449,14384498
2,50,2,200,0.0024,0.0010204081632653062,18329807
2,50,2,200,0.0024,0.0008163265306122449,23357214
2,50,2,200,0.0024,0.0008163265306122449,29763514
2,50,2,200,0.0024,0.0010204081632653062,37926901
2,50,2,200,0.0024,0.0010204081632653062,48329302
2,50,2,200,0.0024,0.0008163265306122449,61584821
2,50,2,200,0.0024,0.0010204081632653062,78475997
2,50,2,200,0.0024,0.0010204081632653062,100000000
2,50,2,200,0.0024,0.0008163265306122449,127427498
2,50,2,200,0.0024,0.0010204081632653062,162377673
2,50,2,200,0.0024,0.0008163265306122449,206913808
2,50,2,200,0.0024,0.0010204081632653062,263665089
2,50,2,200,0.0024,0.0008163265306122449,335981828
2,50,2,200,0.0024,0.0010204081632653062,428133239
2,50,2,200,0.0024,0.0008163265306122449,545559478
2,50,2,200,0.0024,0.0008163265306122449,695192796
2,50,2,200,0.0024,0.0008163265306122449,885866790
2,50,2,200,0.0024,0.0008163265306122449,1128837891
2,50,2,200,0.0024,0.0008163265306122449,1438449888
