"mc","L","F","q","s_max_den","n_density","iteration"
3,50,2,1,0.0032,0.412857142857143,58
3,50,2,1,0.0032,0.412448979591837,114
3,50,2,1,0.0032,0.408979591836735,225
3,50,2,1,0.0032,0.402244897959184,442
3,50,2,1,0.0032,0.394897959183673,870
3,50,2,1,0.0036,0.372244897959184,1712
3,50,2,1,0.0044,0.339795918367347,3368
3,50,2,1,0.0056,0.3,6627
3,50,2,1,0.0092,0.25530612244898,13039
3,50,2,1,0.0076,0.22530612244898,25657
3,50,2,1,0.016,0.203877551020408,50484
3,50,2,1,0.0328,0.180612244897959,99334
3,50,2,1,0.0308,0.150612244897959,195455
3,50,2,1,0.0732,0.14,384586
3,50,2,1,0.2336,0.12530612244898,756729
4,50,2,1,0.0032,0.429387755102041,1
4,50,2,1,0.0032,0.429387755102041,2
4,50,2,1,0.0032,0.429387755102041,4
4,50,2,1,0.0032,0.429387755102041,8
4,50,2,1,0.0032,0.429387755102041,15
4,50,2,1,0.0032,0.429387755102041,29
4,50,2,1,0.0032,0.429387755102041,58
4,50,2,1,0.0032,0.42530612244898,114
4,50,2,1,0.0032,0.42265306122449,225
4,50,2,1,0.0032,0.41530612244898,442
4,50,2,1,0.0032,0.403469387755102,870
4,50,2,1,0.0036,0.382448979591837,1712
4,50,2,1,0.004,0.353265306122449,3368
4,50,2,1,0.0068,0.306326530612245,6627
4,50,2,1,0.0072,0.266530612244898,13039
4,50,2,1,0.0092,0.231020408163265,25657
4,50,2,1,0.0156,0.205102040816327,50484
4,50,2,1,0.0228,0.173469387755102,99334
4,50,2,1,0.0844,0.162040816326531,195455
4,50,2,1,0.0832,0.141020408163265,384586
4,50,2,1,0.0916,0.139795918367347,756729
5,50,2,1,0.0032,0.43530612244898,1
5,50,2,1,0.0032,0.435102040816327,2
5,50,2,1,0.0032,0.435102040816327,4
5,50,2,1,0.0032,0.434897959183673,8
5,50,2,1,0.0032,0.434489795918367,15
5,50,2,1,0.0032,0.434285714285714,29
5,50,2,1,0.0032,0.431632653061225,58
5,50,2,1,0.0032,0.429183673469388,114
5,50,2,1,0.0036,0.421632653061224,225
5,50,2,1,0.0036,0.417551020408163,442
5,50,2,1,0.0036,0.400816326530612,870
5,50,2,1,0.004,0.376530612244898,1712
5,50,2,1,0.0052,0.349795918367347,3368
5,50,2,1,0.0064,0.306938775510204,6627
5,50,2,1,0.0072,0.268571428571429,13039
5,50,2,1,0.0108,0.213469387755102,25657
5,50,2,1,0.0128,0.18265306122449,50484
5,50,2,1,0.0316,0.169591836734694,99334
5,50,2,1,0.0464,0.156326530612245,195455
5,50,2,1,0.0832,0.144897959183673,384586
5,50,2,1,0.1664,0.0908163265306123,756729
1,50,2,10,0.0012,0.159183673469388,1
1,50,2,10,0.0012,0.159183673469388,2
1,50,2,10,0.0012,0.159183673469388,4
1,50,2,10,0.0012,0.159183673469388,8
1,50,2,10,0.0012,0.159183673469388,15
1,50,2,10,0.0012,0.159183673469388,29
1,50,2,10,0.0012,0.158979591836735,58
1,50,2,10,0.0012,0.15734693877551,114
1,50,2,10,0.0012,0.156326530612245,225
1,50,2,10,0.0012,0.15265306122449,442
1,50,2,10,0.0012,0.148571428571429,870
1,50,2,10,0.0012,0.137142857142857,1712
1,50,2,10,0.002,0.122448979591837,3368
1,50,2,10,0.002,0.104285714285714,6627
1,50,2,10,0.0024,0.0787755102040816,13039
1,50,2,10,0.0024,0.0577551020408163,25657
1,50,2,10,0.0036,0.0357142857142857,50484
1,50,2,10,0.0044,0.0244897959183673,99334
1,50,2,10,0.0048,0.0246938775510204,195455
1,50,2,10,0.0056,0.0246938775510204,384586
1,50,2,10,0.0128,0.0246938775510204,756729
2,50,2,10,0.0012,0.162857142857143,1
2,50,2,10,0.0012,0.162857142857143,2
2,50,2,10,0.0012,0.162857142857143,4
2,50,2,10,0.0012,0.162857142857143,8
2,50,2,10,0.0012,0.162448979591837,15
2,50,2,10,0.0012,0.162448979591837,29
2,50,2,10,0.0012,0.162448979591837,58
2,50,2,10,0.0012,0.162244897959184,114
2,50,2,10,0.0012,0.160612244897959,225
2,50,2,10,0.0012,0.157551020408163,442
