mc,F,q,s_max_den,n_density,iteration
1,2,1,0.106,0.3991959798994975,826
1,2,1,0.111,0.39175879396984925,996
1,2,1,0.119,0.38914572864321606,1201
1,2,1,0.124,0.38030150753768843,1447
1,2,1,0.12,0.3776884422110553,1744
1,2,1,0.126,0.37266331658291457,2102
1,2,1,0.144,0.36381909547738694,2533
1,2,1,0.141,0.35738693467336685,3053
1,2,1,0.142,0.361608040201005,3679
1,2,1,0.156,0.36542713567839197,4434
1,2,1,0.158,0.351356783919598,5344
1,2,1,0.169,0.3354773869346734,6441
1,2,1,0.203,0.3278391959798995,7762
1,2,1,0.233,0.30974874371859296,9355
1,2,1,0.249,0.3248241206030151,11274
1,2,1,0.336,0.25809045226130656,13587
1,2,1,0.388,0.21949748743718592,16374
1,2,1,0.43,0.1636180904522613,19733
1,2,1,0.504,0.09407035175879397,23782
1,2,1,0.532,0.07336683417085427,28661
1,2,1,0.539,0.06653266331658292,34541
1,2,1,0.54,0.07035175879396985,41627
1,2,1,0.541,0.0629145728643216,50167
