mc,F,q,s_max_den,n_density,iteration
3,2,1,0.008,0.4074074074074074,88
3,2,1,0.008,0.4034034034034034,106
3,2,1,0.008,0.3993993993993994,127
3,2,1,0.01,0.3943943943943944,154
3,2,1,0.011,0.3883883883883884,185
3,2,1,0.011,0.38238238238238237,223
3,2,1,0.011,0.37737737737737737,269
3,2,1,0.011,0.37237237237237236,325
3,2,1,0.012,0.36436436436436437,392
3,2,1,0.013,0.34934934934934936,472
3,2,1,0.015,0.33733733733733734,569
3,2,1,0.015,0.32732732732732733,686
3,2,1,0.019,0.3023023023023023,826
3,2,1,0.024,0.2902902902902903,996
3,2,1,0.025,0.26626626626626626,1201
3,2,1,0.03,0.24024024024024024,1447
3,2,1,0.039,0.22322322322322322,1744
3,2,1,0.046,0.1921921921921922,2102
3,2,1,0.053,0.16616616616616617,2533
3,2,1,0.06,0.13413413413413414,3053
3,2,1,0.066,0.1031031031031031,3679
3,2,1,0.074,0.07807807807807808,4434
3,2,1,0.076,0.057057057057057055,5344
3,2,1,0.081,0.05105105105105105,6441
3,2,1,0.085,0.03203203203203203,7762
3,2,1,0.089,0.021021021021021023,9355
3,2,1,0.09,0.012012012012012012,11274
3,2,1,0.091,0.003003003003003003,13587
3,2,1,0.091,0.002002002002002002,16374
3,2,1,0.092,0.0,19733
3,2,1,0.092,0.0,23782
3,2,1,0.092,0.0,28661
3,2,1,0.092,0.0,34541
3,2,1,0.092,0.0,41627
3,2,1,0.092,0.0,50167
3,2,1,0.092,0.0,60459
3,2,1,0.092,0.0,72863
3,2,1,0.092,0.0,87811
3,2,1,0.092,0.0,105825
3,2,1,0.092,0.0,127535
3,2,1,0.092,0.0,153700
3,2,1,0.092,0.0,185232
3,2,1,0.092,0.0,223232
3,2,1,0.092,0.0,269029
3,2,1,0.092,0.0,324221
3,2,1,0.092,0.0,390736
3,2,1,0.092,0.0,470896
3,2,1,0.092,0.0,567501
3,2,1,0.092,0.0,683925
3,2,1,0.092,0.0,824234
